Year,Race,Level,Total,Subtotal
2006,Native American,Graduate ,9205,21
2006,Native American,Professional ,1045,5
2005,Native American,Overall,40510,117
2005,Native American,Undergraduate ,30449,87
2005,Native American,Graduate ,9032,25
2005,Native American,Professional ,1029,5
2004,Native American,Overall,39516,100
2004,Native American,Undergraduate ,29284,73
2004,Native American,Graduate ,9164,23
2004,Native American,Professional ,1068,4
2003,Native American,Overall,38872,91
2003,Native American,Undergraduate ,28591,73
2003,Native American,Graduate ,9216,17
2003,Native American,Professional ,1065,1
2002,Native American,Overall,38263,71
2002,Native American,Undergraduate ,28243,58
2002,Native American,Graduate ,8966,13
2002,Native American,Professional ,1054,0
2001,Native American,Overall,37684,69
2001,Native American,Undergraduate ,28114,54
2001,Native American,Graduate ,8509,14
2001,Native American,Professional ,1061,1
2000,Native American,Overall,36936,65
2000,Native American,Undergraduate ,27882,51
2000,Native American,Graduate ,8055,13
2000,Native American,Professional ,999,1
1999,Native American,Overall,36690,76
1999,Native American,Undergraduate ,27855,61
1999,Native American,Graduate ,7874,14
1999,Native American,Professional ,961,1
1998,Native American,Overall,36303,81
1998,Native American,Undergraduate ,27452,63
1998,Native American,Graduate ,7910,16
1998,Native American,Professional ,941,2
1997,Native American,Overall,35979,75
1997,Native American,Undergraduate ,26838,57
1997,Native American,Graduate ,8189,18
1997,Native American,Professional ,952,0
1996,Native American,Overall,36124,82
1996,Native American,Undergraduate ,26707,58
1996,Native American,Graduate ,8471,24
1996,Native American,Professional ,946,0
1995,Native American,Overall,36395,71
1995,Native American,Undergraduate ,26665,54
1995,Native American,Graduate ,8794,18
1995,Native American,Professional ,961,2
1994,Native American,Overall,36137,65
1994,Native American,Undergraduate ,26312,43
1994,Native American,Graduate ,8898,18
1994,Native American,Professional ,927,4
1993,Native American,Overall,36374,62
1993,Native American,Undergraduate ,26296,43
1993,Native American,Graduate ,9154,17
1993,Native American,Professional ,924,2
1992,Native American,Overall,35760,50
1992,Native American,Undergraduate ,25812,32
1992,Native American,Graduate ,9021,15
1992,Native American,Professional ,927,3
1991,Native American,Overall,36081,56
1991,Native American,Undergraduate ,26328,36
1991,Native American,Graduate ,8824,15
1991,Native American,Professional ,929,5
1990,Native American,Overall,35699,76
1990,Native American,Undergraduate ,26395,56
1990,Native American,Graduate ,8400,16
1990,Native American,Professional ,904,4
1989,Native American,Overall,34972,59
1989,Native American,Undergraduate ,25908,41
1989,Native American,Graduate ,8157,16
1989,Native American,Professional ,907,2
1988,Native American,Overall,35970,67
1988,Native American,Undergraduate ,26814,50
1988,Native American,Graduate ,8250,17
1988,Native American,Professional ,906,0
1987,Native American,Overall,36282,58
1987,Native American,Undergraduate ,27022,45
1987,Native American,Graduate ,8341,12
1987,Native American,Professional ,919,1
1986,Native American,Overall,36266,60
1986,Native American,Undergraduate ,27147,47
1986,Native American,Graduate ,8175,10
1986,Native American,Professional ,944,3
1985,Native American,Overall,35928,67
1985,Native American,Undergraduate ,27180,55
1985,Native American,Graduate ,7823,9
1985,Native American,Professional ,925,3
1984,Native American,Overall,34695,67
1984,Native American,Undergraduate ,26069,52
1984,Native American,Graduate ,7684,11
1984,Native American,Professional ,942,4
1983,Native American,Overall,34548,70
1983,Native American,Undergraduate ,25930,57
1983,Native American,Graduate ,7644,11
1983,Native American,Professional ,974,2
1982,Native American,Overall,34849,66
1982,Native American,Undergraduate ,26260,54
1982,Native American,Graduate ,7613,10
1982,Native American,Professional ,976,2
1981,Native American,Overall,35066,84
