Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,
120228 ,KY ,581 ,MPH ,1630 ,Public Health ,5914 ,BS ComHealth/MPH PublicHealth ,13,1,12,0,4,4,4,1,0,0,0,0,0,4,0,0,4,5,13,0,1PKS5914MPH
120228 ,KY ,581 ,MPH ,1630 ,Public Health ,5915 ,BS Kinesiology/MPH PubicHealth ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1PKS5915MPH
120228 ,KY ,581 ,MPH ,5884 ,Epidemiology ,  ,  ,18,6,12,0,4,3,0,1,0,0,1,8,1,1,0,0,3,2,8,10,1PKS5884MPH
120228 ,KY ,581 ,MPH ,5884 ,Epidemiology ,6036 ,BS Community Health/MPH Epidem ,5,3,2,0,2,1,0,2,0,0,0,0,0,0,0,0,1,2,5,0,1PKS6036MPH
120228 ,KY ,581 ,MPH ,5884 ,Epidemiology ,6037 ,BS Kinesiology/MPHEpidemiology ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1PKS6037MPH
120228 ,KY ,581 ,MS ,0349 ,Community Health ,  ,  ,6,2,4,0,1,1,0,2,0,0,0,2,0,0,1,0,1,2,2,4,10KS0349MS
120228 ,KY ,581 ,MS ,0351 ,Kinesiology ,  ,  ,27,10,17,0,7,1,2,3,0,0,3,11,0,4,0,0,2,7,10,17,10KS0351MS
120228 ,KY ,581 ,MS ,5875 ,Health Technology ,  ,  ,8,6,2,0,5,0,1,0,0,0,0,2,0,1,0,0,0,1,6,2,1PKS5875MS
120228 ,KY ,581 ,PHD ,0349 ,Community Health ,  ,  ,31,16,15,0,4,2,6,1,0,0,0,18,0,6,0,0,3,7,3,28,10KS0349PHD
120228 ,KY ,581 ,PHD ,0351 ,Kinesiology ,  ,  ,43,17,26,0,22,0,2,4,0,0,1,14,0,3,0,0,1,7,13,30,10KS0351PHD
120228 ,KY ,679 ,AUD ,1053 ,Audiology ,  ,  ,27,4,22,1,16,1,0,5,0,0,1,4,0,0,0,1,2,6,20,7,10KS1053AUD
120228 ,KY ,679 ,BS ,0354 ,Speech & Hearing Science ,  ,  ,60,4,56,0,44,5,0,9,0,0,2,0,0,0,1,0,7,9,57,3,10KY0354BS
120228 ,KY ,679 ,BS ,0354 ,Speech & Hearing Science ,1494 ,Neuroscience ,9,1,8,0,5,1,1,2,0,0,0,0,0,1,0,0,1,3,9,0,10KY1494BS
120228 ,KY ,679 ,BS ,0354 ,Speech & Hearing Science ,4067 ,Audiology ,12,2,10,0,7,3,0,2,0,0,0,0,0,0,0,0,3,2,11,1,10KY4067BS
120228 ,KY ,679 ,BS ,0354 ,Speech & Hearing Science ,4068 ,Speech-Language Pathology ,163,1,162,0,104,8,11,31,0,0,8,0,1,13,0,1,14,44,160,3,10KY4068BS
120228 ,KY ,679 ,BS ,0354 ,Speech & Hearing Science ,5465 ,Cultural-Linguistic Diversity ,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,10KY5465BS
120228 ,KY ,679 ,MA ,0354 ,Speech & Hearing Science ,  ,  ,57,3,54,0,41,3,4,5,0,0,1,3,0,5,0,0,4,10,45,12,10KS0354MA
120228 ,KY ,679 ,NDEG ,0354 ,Speech & Hearing Science ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS0354NDEG
120228 ,KY ,679 ,PHD ,0354 ,Speech & Hearing Science ,  ,  ,14,3,11,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,2,12,10KS0354PHD
120228 ,KY ,682 ,NDEG ,0067 ,Nondegree ,  ,  ,34,17,17,0,26,3,1,1,0,0,1,2,0,2,0,0,4,2,32,2,10KY0067NDEG
120228 ,KY ,714 ,BS ,4043 ,"Recreation, Sport, and Tourism ",  ,  ,5,3,2,0,0,2,1,1,0,0,0,1,0,1,0,0,2,2,3,2,10KY4043BS
120228 ,KY ,714 ,BS ,4043 ,"Recreation, Sport, and Tourism ",4044 ,Recreation Management ,11,4,7,0,6,0,1,2,0,0,1,1,0,2,0,0,1,4,8,3,10KY4044BS
120228 ,KY ,714 ,BS ,4043 ,"Recreation, Sport, and Tourism ",4045 ,Tourism Management ,15,4,11,0,10,0,1,2,0,0,1,0,1,2,0,0,1,3,13,2,10KY4045BS
120228 ,KY ,714 ,BS ,4043 ,"Recreation, Sport, and Tourism ",5266 ,Sport Management ,266,214,52,0,156,9,38,26,0,0,16,19,2,47,4,0,17,73,209,57,10KY5266BS
120228 ,KY ,714 ,MS ,4043 ,"Recreation, Sport, and Tourism ",  ,  ,25,16,9,0,13,0,3,2,0,0,0,7,0,4,0,0,0,5,15,10,10KS4043MS
120228 ,KY ,714 ,MS ,4043 ,"Recreation, Sport, and Tourism ",  ,  ,27,19,8,0,13,0,7,5,0,0,0,0,2,8,1,0,0,12,15,12,10KS4043MSU
120228 ,KY ,714 ,NDEG ,4043 ,"Recreation, Sport, and Tourism ",  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1PKS4043NDEU
120228 ,KY ,714 ,PHD ,4043 ,"Recreation, Sport, and Tourism ",  ,  ,34,18,16,0,6,0,4,4,0,0,0,20,0,4,1,0,0,8,4,30,10KS4043PHD
120228 ,KY ,754 ,NDEG ,0067 ,Nondegree ,5464 ,Info Accessibility Dsgn&Policy ,9,4,5,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,9,1PKS5464NDEU
120228 ,KY ,  ,  ,  ,Applied Health Sci ,  ,***College total*** ,2618,909,1708,1,1194,385,332,427,2,1,99,156,22,402,29,18,456,814,2246,372, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 ,LC ,  ,  ,  ,Veterinary Medicine ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120228 ,LC ,282 ,MS ,5216 ,VMS - Pathobiology ,  ,  ,5,2,3,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,2,3,10KS5216MS
120228 ,LC ,282 ,PHD ,5216 ,VMS - Pathobiology ,  ,  ,48,28,20,0,11,0,0,1,0,0,0,35,1,0,0,0,0,1,8,40,10KS5216PHD
120228 ,LC ,444 ,DVM ,0480 ,Veterinary Medicine ,  ,  ,538,85,452,1,422,26,9,61,0,0,16,4,0,14,3,1,39,75,304,234,10LC0480DVM
120228 ,LC ,444 ,MVS ,5921 ,Livestock Systems Health ,  ,  ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1PKS5921MVS
120228 ,LC ,444 ,MVS ,5921 ,Livestock Systems Health ,  ,  ,37,14,23,0,26,0,1,3,0,0,2,0,5,1,2,0,0,6,8,29,1PKS5921MVSU
120228 ,LC ,444 ,NDEG ,0480 ,Veterinary Medicine ,  ,  ,29,1,28,0,17,1,2,3,0,0,0,0,6,2,0,0,1,5,0,29,10LC0480NDEU
120228 ,LC ,444 ,NDEG ,5921 ,Livestock Systems Health ,  ,  ,4,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1PKS5921NDEU
120228 ,LC ,598 ,MS ,0359 ,VMS-Veterinary Clinical Medcne ,  ,  ,38,10,28,0,24,5,0,2,0,0,0,6,1,0,0,0,5,2,6,32,10KS0359MS
120228 ,LC ,873 ,MS ,5274 ,VMS - Comparative Biosciences ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10KS5274MS
120228 ,LC ,873 ,PHD ,5274 ,VMS - Comparative Biosciences ,  ,  ,33,12,21,0,5,1,2,0,0,0,0,25,0,2,0,0,1,2,2,31,10KS5274PHD
120228 ,LC ,  ,  ,  ,Veterinary Medicine ,  ,***College total*** ,734,156,577,1,509,34,14,72,0,0,18,72,15,19,5,1,47,93,330,404, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120228 ,LG ,  ,  ,  ,Labor & Empl. Rel. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120228 ,LG ,568 ,MHRIR ,0364 ,Human Res & Industrial Rels ,  ,  ,168,46,121,1,51,30,16,16,0,0,6,49,0,18,2,0,34,34,96,72,10KS0364MHRI
120228 ,LG ,568 ,MHRIR ,0364 ,Human Res & Industrial Rels ,  ,  ,107,22,83,2,54,14,14,17,1,0,5,1,1,17,5,0,17,35,56,51,10KS0364MHRU
120228 ,LG ,568 ,NDEG ,0364 ,Human Res & Industrial Rels ,  ,  ,3,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1PKS0364NDEU
120228 ,LG ,568 ,PHD ,0364 ,Human Res & Industrial Rels ,  ,  ,15,5,10,0,0,1,0,1,0,0,0,13,0,0,1,0,1,1,1,14,10KS0364PHD
120228 ,LG ,  ,  ,  ,Labor & Empl. Rel. ,  ,***College total*** ,293,74,216,3,107,45,30,34,1,0,12,63,1,35,8,0,53,70,154,139, 
